Garanhão,Proprietário,Data de Produção (Embriovet),Origem Externa / Referência,Palhetas Produzidas,Qualidade (%),Motilidade (%),Concentração (milhões/mL),Dose inseminante (DI),Local Armazenagem,Certificado,Existência Atual,Observações
Niro das figueiras,,,Espanha,,,,,3,,,43,
Niro das figueiras,,2024-03-20,,29.0,,,,6,,,17,
Niro das figueiras,,2024-03-22,,36.0,,,,6,,,36,
Niro das figueiras,,2024-03-25,,40.0,60.0,,264.0,6,,,40,
Niro das figueiras,,2024-03-26,,34.0,60.0,,207.0,6,,,34,
Niro das figueiras,,2024-03-27,,46.0,50.0,,229.0,6,,,46,
Niro das figueiras,,2024-03-28,,39.0,60.0,,165.0,6,,,29,
Niro das figueiras,,2024-03-29,,27.0,60.0,,284.0,6,,,17,
Niro das figueiras,,2024-03-30,,31.0,60.0,,277.0,6,,,19,
Niro das figueiras,,2024-03-31,,25.0,,,,6,,,9,
Niro das figueiras,,2024-04-01,,37.0,50.0,,189.0,6,,,21,
Niro das figueiras,,2024-04-02,,38.0,50.0,,,6,,,2,
Niro das figueiras,,2024-04-03,,47.0,60.0,,268.0,6,,,16,
Niro das figueiras,,2024-04-04,,15.0,50.0,,164.0,6,,,8,
Niro das figueiras,,2024-04-05,,36.0,70.0,,209.0,6,,,36,
Poeta das Figueiras,,,Espanha,,,,,3,,,2,
Poeta das Figueiras,,2024-01-10,,27.0,,,,3,,,27,
Poeta das Figueiras,,2024-01-11,,58.0,70.0,,247.0,3,,,52,
Poeta das Figueiras,,2024-01-12,,40.0,70.0,,268.0,3,,,40,
Poeta das Figueiras,,2024-01-13,,44.0,60.0,,257.0,3,,,44,
Poeta das Figueiras,,2024-01-14,,48.0,60.0,,282.0,3,,,24,
Poeta das Figueiras,,2024-01-15,,45.0,70.0,,279.0,3,,,45,
Poeta das Figueiras,,2024-01-16,,42.0,70.0,,246.0,3,,,42,
Poeta das Figueiras,,2024-01-17,,24.0,60.0,,184.0,3,,,24,
Poeta das Figueiras,,2024-01-18,,35.0,70.0,,236.0,3,,,35,
Poeta das Figueiras,,2024-01-19,,41.0,70.0,,160.0,3,,,41,
Poeta das Figueiras,,2024-01-20,,25.0,60.0,,243.0,3,,,25,
Poeta das Figueiras,,2024-01-21,,31.0,60.0,,156.0,3,,,31,
Poeta das Figueiras,,2024-01-22,,55.0,60.0,,196.0,3,,,45,
Poeta das Figueiras,,2024-01-23,,49.0,50.0,,194.0,3,,,49,
Poeta das Figueiras,,2024-01-24,,47.0,70.0,,250.0,3,,,47,
Poeta das Figueiras,,2024-01-25,,41.0,50.0,,235.0,3,,,41,
Poeta das Figueiras,,,26/01/2024,46.0,60.0,,146.0,3,,,17,
Oscar das Figueiras,,,espanha,,,,,4,,,3,
Oscar das Figueiras,,2024-02-14,,27.0,35.0,,254.0,4,,,10,
Oscar das Figueiras,,2024-01-14,,26.0,40.0,,272.0,4,,,10,
Oscar das Figueiras,,2024-01-16,,35.0,,,,4,,,9,
Oscar das Figueiras,,2024-01-19,,21.0,40.0,,280.0,4,,,1,
Oscar das Figueiras,,2024-01-20,,42.0,25.0,,,4,,,35,
Oscar das Figueiras,,2024-01-22,,30.0,40.0,,365.0,4,,,28,
Oscar das Figueiras,,2024-01-25,,21.0,,,,4,,,17,
Oscar das Figueiras,,,22.12.23,37.0,25.0,15.0,170.0,4,C3C1,,37,
Oscar das Figueiras,,,24.12.23,35.0,15.0,10.0,360.0,4,C13C1,,35,
Oscar das Figueiras,,,26.12.23,54.0,35.0,,126.0,4,C13C3,,54,
Oscar das Figueiras,,,27.12.23,61.0,30.0,20.0,160.0,4,C7C2,,61,
Oscar das Figueiras,,,28.12.23,21.0,45.0,35.0,261.0,4,C8C8,,21,
Oscar das Figueiras,,,29.12.23,21.0,20.0,15.0,218.0,4,C1C8,,21,
Oscar das Figueiras,,,30.12.23,21.0,35.0,25.0,385.0,4,C1C8,,21,
Oscar das Figueiras,,,02.01.24,27.0,35.0,25.0,372.0,4,C9C2,,27,
Oscar das Figueiras,,,03.01.26,17.0,25.0,15.0,190.0,4,C9C2,,17,
Feelgood,,,Alemanha,512.0,,,,,,,487,
Aladino,,2021-10-28,,32.0,50.0,40.0,180.0,8,,,32,
Aladino,,2021-11-01,,45.0,50.0,40.0,176.0,8,,,45,
Bacará da Broa,,2014-02-06,,34.0,,,,8,"3 | 10, 2º andar | quadrante 1",,13,
Bacará da Broa,,2014-02-06,,35.0,,,,8,"3 | 10, 2º andar | quadrante 1",,22,
Bacará da Broa,,2014-02-12,,15.0,,,,8,"3 | 10, 2º andar | gobelet",,6,
Bacará da Broa,,2014-02-12,,14.0,,,,8,"3 | 10, 2º andar | gobelet",,7,
Bacará da Broa,,2014-02-14,,67.0,,,,8,"3 | 10, 2º andar | quadrante 2",,19,
Bacará da Broa,,2014-02-17,,40.0,,,,8,"3 | 10, 2º andar | quadrante 4",,16,
Bacará da Broa,,2014-03-01,,76.0,,,,8,"3 | 10, 2º andar | quadrante 3",,54,
Bacará da Broa,,,várias,,,,,8,"3 | 5, 2º andar | quadrante 2",,48,
Baccarat,,2018-04-27,,23.0,30.0,20.0,,12,"1 | 7, 2º andar | hexagono",,6,
Baccarat,,2018-04-28,,11.0,40.0,30.0,,12,"1 | 7, 2º andar | gobelet",,10,
Baccarat,,2018-05-02,,26.0,25.0,15.0,,12,"1 | 7, 2º andar | hexagono",,10,
Baccarat,,2018-05-04,,23.0,30.0,25.0,120.0,12,"1 | 7, 2º andar | hexagono",,8,
Baccarat,,2018-05-06,,49.0,20.0,10.0,190.0,12,"1 | 7, 2º andar | quadrante 2",,41,
Baccarat,,2018-05-08,,10.0,30.0,20.0,148.0,12,"1 | 7, 2º andar | gobelet",,1,
Baccarat,,2018-05-10,,6.0,30.0,20.0,156.0,12,"1 | 7, 2º andar | gobelet",,6,
Baccarat,,,Baccarat(man.),16.0,35.0,25.0,258.0,12,"1 | 7, 2º andar | quadrante 3",,14,
Baccarat,,2018-05-23,,10.0,30.0,20.0,,12,"1 | 7, 2º andar | quadrante 4",,6,
Baccarat,,2018-05-25,,8.0,30.0,20.0,,12,"1 | 7, 2º andar | quadrante 1",,4,
Baccarat,,2018-05-29,,15.0,35.0,20.0,,12,"1 | 6, 1º andar | quadrante 1",,15,
